episode_id,player_0_ball_reward,player_1_ball_reward,player_2_ball_reward,player_3_ball_reward,total_ball_reward
1,26.0,23.0,30.0,10.0,89.0
2,30.0,28.0,24.0,33.0,115.0
3,35.0,30.0,28.0,32.0,125.0
4,33.0,48.0,37.0,26.0,144.0
5,36.0,31.0,48.0,36.0,151.0
6,39.0,45.0,63.0,66.0,213.0
7,54.0,54.0,64.0,51.0,223.0
8,42.0,37.0,48.0,87.0,214.0
9,63.0,42.0,81.0,57.0,243.0
10,84.0,36.0,72.0,48.0,240.0
11,51.0,30.0,75.0,51.0,207.0
12,69.0,39.0,81.0,57.0,246.0
13,51.0,57.0,66.0,54.0,228.0
14,66.0,75.0,69.0,57.0,267.0
15,66.0,60.0,69.0,45.0,240.0
16,57.0,87.0,60.0,39.0,243.0
17,69.0,87.0,66.0,60.0,282.0
18,81.0,48.0,57.0,60.0,246.0
19,66.0,57.0,72.0,69.0,264.0
20,84.0,42.0,72.0,66.0,264.0
21,81.0,75.0,63.0,75.0,294.0
22,81.0,75.0,69.0,49.0,274.0
23,84.0,39.0,81.0,59.0,263.0
24,96.0,63.0,54.0,78.0,291.0
25,60.0,45.0,78.0,93.0,276.0
26,69.0,81.0,63.0,49.0,262.0
27,69.0,78.0,75.0,57.0,279.0
28,72.0,57.0,63.0,93.0,285.0
29,81.0,48.0,84.0,78.0,291.0
30,84.0,54.0,105.0,63.0,306.0
31,63.0,69.0,87.0,40.0,259.0
32,84.0,78.0,55.0,20.0,237.0
33,81.0,108.0,45.0,48.0,282.0
34,108.0,69.0,58.0,49.0,284.0
35,90.0,75.0,76.0,49.0,290.0
36,111.0,63.0,79.0,40.0,293.0
37,87.0,63.0,75.0,59.0,284.0
38,108.0,48.0,75.0,60.0,291.0
39,81.0,66.0,59.0,70.0,276.0
40,78.0,84.0,72.0,52.0,286.0
41,69.0,105.0,63.0,49.0,286.0
42,69.0,78.0,60.0,64.0,271.0
43,78.0,54.0,93.0,72.0,297.0
44,84.0,54.0,84.0,57.0,279.0
45,69.0,78.0,78.0,57.0,282.0
46,84.0,75.0,72.0,51.0,282.0
47,87.0,55.0,84.0,55.0,281.0
48,117.0,52.0,54.0,69.0,292.0
49,90.0,63.0,60.0,75.0,288.0
50,63.0,66.0,72.0,81.0,282.0
51,66.0,96.0,78.0,72.0,312.0
52,111.0,51.0,33.0,70.0,265.0
53,81.0,75.0,52.0,63.0,271.0
54,45.0,93.0,73.0,72.0,283.0
55,84.0,96.0,81.0,61.0,322.0
56,69.0,57.0,84.0,66.0,276.0
57,84.0,75.0,63.0,51.0,273.0
58,81.0,75.0,81.0,81.0,318.0
59,67.0,96.0,42.0,40.0,245.0
60,81.0,117.0,63.0,52.0,313.0
61,88.0,75.0,45.0,67.0,275.0
62,87.0,69.0,87.0,75.0,318.0
63,82.0,81.0,96.0,38.0,297.0
64,87.0,114.0,42.0,63.0,306.0
65,99.0,105.0,45.0,60.0,309.0
66,93.0,66.0,54.0,65.0,278.0
67,82.0,78.0,69.0,48.0,277.0
68,69.0,75.0,48.0,61.0,253.0
69,69.0,66.0,57.0,84.0,276.0
70,87.0,72.0,69.0,69.0,297.0
71,58.0,81.0,93.0,54.0,286.0
72,66.0,81.0,78.0,69.0,294.0
73,81.0,69.0,81.0,57.0,288.0
74,58.0,87.0,87.0,63.0,295.0
75,84.0,66.0,61.0,82.0,293.0
76,87.0,66.0,82.0,54.0,289.0
77,72.0,72.0,78.0,78.0,300.0
78,75.0,66.0,84.0,50.0,275.0
79,54.0,90.0,73.0,42.0,259.0
80,72.0,54.0,50.0,87.0,263.0
81,69.0,69.0,76.0,54.0,268.0
82,69.0,87.0,78.0,66.0,300.0
83,90.0,63.0,93.0,42.0,288.0
84,114.0,45.0,76.0,48.0,283.0
85,45.0,75.0,83.0,50.0,253.0
86,45.0,78.0,54.0,78.0,255.0
87,48.0,57.0,96.0,57.0,258.0
88,81.0,69.0,66.0,60.0,276.0
89,69.0,51.0,87.0,55.0,262.0
90,78.0,66.0,87.0,49.0,280.0
91,75.0,72.0,76.0,58.0,281.0
92,66.0,78.0,111.0,57.0,312.0
93,78.0,90.0,72.0,39.0,279.0
94,99.0,58.0,93.0,45.0,295.0
95,114.0,69.0,57.0,51.0,291.0
96,87.0,81.0,66.0,60.0,294.0
97,102.0,78.0,78.0,36.0,294.0
98,72.0,75.0,81.0,49.0,277.0
99,72.0,66.0,67.0,41.0,246.0
100,69.0,69.0,57.0,49.0,244.0
101,65.0,83.0,71.0,66.0,285.0
102,126.0,66.0,48.0,90.0,330.0
103,78.0,93.0,39.0,59.0,269.0
104,84.0,51.0,39.0,96.0,270.0
105,78.0,90.0,49.0,49.0,266.0
106,45.0,87.0,66.0,60.0,258.0
107,66.0,84.0,78.0,47.0,275.0
108,63.0,90.0,72.0,69.0,294.0
109,99.0,60.0,75.0,53.0,287.0
110,105.0,60.0,72.0,66.0,303.0
111,78.0,63.0,84.0,70.0,295.0
112,81.0,60.0,84.0,38.0,263.0
113,69.0,66.0,75.0,62.0,272.0
114,69.0,66.0,75.0,64.0,274.0
115,87.0,78.0,57.0,36.0,258.0
116,87.0,75.0,62.0,63.0,287.0
117,66.0,66.0,53.0,72.0,257.0
118,99.0,54.0,60.0,44.0,257.0
119,69.0,60.0,63.0,38.0,230.0
120,99.0,75.0,51.0,51.0,276.0
121,78.0,78.0,66.0,66.0,288.0
122,69.0,90.0,66.0,49.0,274.0
123,81.0,81.0,66.0,62.0,290.0
124,78.0,57.0,75.0,53.0,263.0
125,72.0,84.0,39.0,67.0,262.0
126,102.0,78.0,51.0,66.0,297.0
127,75.0,90.0,54.0,67.0,286.0
128,93.0,63.0,60.0,84.0,300.0
129,60.0,63.0,66.0,87.0,276.0
130,65.0,55.0,90.0,66.0,276.0
131,108.0,57.0,51.0,57.0,273.0
132,87.0,72.0,72.0,75.0,306.0
133,78.0,96.0,66.0,76.0,316.0
134,78.0,72.0,56.0,80.0,286.0
135,74.0,96.0,75.0,66.0,311.0
136,96.0,69.0,63.0,81.0,309.0
137,93.0,78.0,78.0,43.0,292.0
138,81.0,87.0,52.0,64.0,284.0
139,84.0,74.0,78.0,43.0,279.0
140,108.0,78.0,66.0,66.0,318.0
141,72.0,78.0,62.0,71.0,283.0
142,100.0,93.0,63.0,47.0,303.0
143,72.0,96.0,80.0,48.0,296.0
144,69.0,69.0,81.0,90.0,309.0
145,83.0,72.0,66.0,58.0,279.0
146,84.0,90.0,66.0,72.0,312.0
147,75.0,105.0,63.0,45.0,288.0
148,81.0,93.0,62.0,59.0,295.0
149,117.0,70.0,78.0,31.0,296.0
150,102.0,83.0,56.0,53.0,294.0
151,114.0,94.0,36.0,42.0,286.0
152,72.0,89.0,67.0,26.0,254.0
153,87.0,93.0,53.0,38.0,271.0
154,72.0,93.0,56.0,52.0,273.0
155,84.0,102.0,53.0,46.0,285.0
156,105.0,76.0,53.0,37.0,271.0
157,81.0,78.0,66.0,57.0,282.0
158,63.0,81.0,63.0,75.0,282.0
159,78.0,84.0,84.0,39.0,285.0
160,33.0,28.0,42.0,27.0,130.0
